PPARG	NFATC2	BCL6	MAFB	PRDM1	SNAI3	EGR2	ETS1	STAT1	FOS
11.0617718	9.6617014	3.9965571	3.9965571	9.3255321	3.9965571	3.9965571	5.5836513	12.0476692	13.7453354
3.8275505	13.6154568	11.8173311	3.8275505	11.9186682	3.8275505	3.8275505	3.8275505	12.570012	9.7118464
3.8904885	9.8631116	3.8904885	3.8904885	11.5444569	11.3537563	3.8904885	3.8904885	11.9617417	11.4811062
3.9145501	8.5146288	10.7074377	3.9145501	10.8799268	9.8246174	3.9145501	3.9145501	13.5485739	8.5557778
4.1017459	11.2300829	4.1017459	4.1017459	10.4239222	4.1017459	4.1017459	4.1017459	12.8652028	11.1587269
11.4366211	11.1839699	3.8215293	3.8215293	10.5185648	10.2646312	9.7170601	3.8215293	12.9102796	7.5924573
10.7138211	9.3244031	9.7148835	3.7559847	3.7559847	11.8811749	3.7559847	6.9281713	12.4491057	8.5732863
10.0584244	11.1776159	8.8682522	3.6681752	7.3897381	12.1414396	3.6681752	7.1900571	13.1987932	8.5175943
3.8985363	11.747006	10.8233767	3.8985363	9.7895161	10.2844931	3.8985363	6.5103466	12.58936	10.0909895
3.7850172	13.5327402	3.7850172	3.7850172	3.7850172	3.7850172	3.7850172	3.7850172	13.8710446	12.9927009
11.6434389	11.4900833	10.1288077	3.8598975	10.432932	3.8598975	3.8598975	8.2340452	13.6651076	11.9486886
3.8244233	9.9647372	3.8244233	3.8244233	9.0714775	3.8244233	3.8244233	5.2945665	11.3347645	10.8137049
10.846471	10.7665259	3.9232914	3.9232914	10.6502058	3.9232914	3.9232914	6.3540273	11.2915391	11.1110644
11.0649736	10.3997566	13.6816395	3.8392701	10.3914144	9.7234859	3.8392701	3.8392701	11.4850784	11.7122907
3.8604347	3.8604347	3.8604347	3.8604347	10.1431204	3.8604347	3.8604347	8.0202972	11.2928879	10.5813015
3.6270314	11.8295699	9.1614214	7.9031392	3.6270314	3.6270314	17.1902579	3.6270314	11.2319891	13.1519429
12.2078043	3.9035843	14.2183566	13.2729628	12.9151038	3.9035843	15.717993	3.9035843	11.5418833	7.9259665
8.9930555	10.9025773	3.9077055	3.9077055	3.9077055	3.9077055	3.9077055	3.9077055	10.9118696	11.5471278
8.2604911	8.8581142	3.8024209	3.8024209	3.8024209	3.8024209	3.8024209	5.4971169	11.1652972	13.4955496
4.0477981	13.0772494	4.0477981	4.0477981	9.7522529	21.2037962	4.0477981	5.7010105	11.7722699	13.0190125
3.8539948	11.5236249	3.8539948	3.8539948	8.7080994	9.1378287	3.8539948	3.8539948	11.8285105	10.7725111
3.8913304	13.5715244	9.9074334	7.1559753	3.8913304	3.8913304	3.8913304	3.8913304	10.7722496	3.8913304
9.2417298	11.9539641	10.1428804	3.8307814	3.8307814	3.8307814	3.8307814	7.5471724	9.846729	11.0559527
11.4897162	10.03791	3.9332608	3.9332608	3.9332608	13.7464637	3.9332608	3.9332608	13.1984534	12.0407693
12.8979293	14.2387305	8.782671	4.0398586	4.0398586	4.0398586	11.498925	7.9170894	11.667061	12.288675
12.0537488	11.6226768	3.7275258	3.7275258	8.6480293	9.2326808	9.2334133	3.7275258	13.2404773	8.4507156
3.6550918	10.0495099	3.6550918	3.6550918	7.672133	3.6550918	3.6550918	8.5881984	12.7572129	8.9041625
3.8043517	9.5859856	10.4791457	3.8043517	9.7745663	3.8043517	9.186887	3.8043517	14.4448784	12.295989
3.7381983	11.1981262	11.1405519	3.7381983	8.2027043	10.3144356	15.9720453	3.7381983	16.1008173	16.9541027
